id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,5,3,2400.0,200.0,Royal Enfield
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,8,5,2875.0,239.583,Yamaha
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,13,12,4615.385,384.615,Honda
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,5,4,3400.0,283.333,Honda
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,7,9,6000.0,500.0,Bajaj
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,8,7,4000.0,333.333,Yamaha
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,7,2,1428.571,119.048,Honda
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,5,5,4235.6,352.967,Bajaj
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,4,1,281.75,23.479,Yamaha
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,11,11,5000.0,416.667,Suzuki
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,13,9,3461.538,288.462,Yamaha
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,5,5,4600.0,383.333,Royal Enfield
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,5,8,7800.0,650.0,Yamaha
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,7,4,2492.857,207.738,Honda
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,10,5,2069.6,172.467,Honda
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,11,7,3181.818,265.151,Honda
27,Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,6,5,4000.0,333.333,Honda
28,Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,10,7,3500.0,291.667,Yamaha
30,Hero Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,6,1,416.667,34.722,Hero
31,Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,10,15,7500.0,625.0,Yamaha
32,Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,7,10,7142.857,595.238,Hero
34,Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,4,2,2500.0,208.333,Honda
35,Honda Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,5,2,1300.4,108.367,Honda
36,Hero Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,5,5,4200.0,350.0,Hero
37,Honda CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,7,4,2285.714,190.476,Honda
41,Hero Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,5,4,4000.0,333.333,Hero
43,Hero Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,11,17,7363.636,613.636,Hero
44,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,5,2,1600.0,133.333,Yamaha
45,Hero Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,7,11,7857.143,654.762,Hero
46,Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,12,12,4750.0,395.833,Bajaj
47,Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,14,6,1857.143,154.762,Yamaha
48,Yamaha Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,5,3,2600.0,216.667,Yamaha
49,Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,11,6,2636.364,219.697,Yamaha
50,Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,13,9,3307.692,275.641,Bajaj
51,Honda CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,8,8,5000.0,416.667,Honda
53,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,8,5,3000.0,250.0,Hero
54,Honda Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,4,1,750.0,62.5,Honda
58,Bajaj Discover 125,25000.0,2013,Individual,1st owner,55000,57549.0,10,11,5500.0,458.333,Bajaj
60,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,51994.0,8,5,3000.0,250.0,Hero
61,Hero Xtreme Sports,50000.0,2014,Individual,1st owner,80000,80350.0,9,16,8888.889,740.741,Hero
62,Honda Activa 3G,30000.0,2015,Individual,1st owner,39000,54605.0,8,8,4875.0,406.25,Honda
63,Yamaha FZ16,48000.0,2016,Individual,1st owner,20000,78712.0,7,4,2857.143,238.095,Yamaha
64,Honda CB Hornet 160R,65000.0,2016,Individual,1st owner,30000,88161.0,7,6,4285.714,357.143,Honda
66,Hero Hunk,45000.0,2014,Individual,1st owner,41000,78513.0,9,9,4555.556,379.63,Hero
67,Suzuki Let''s,34000.0,2014,Individual,1st owner,8000,50098.0,9,2,888.889,74.074,Suzuki
70,Mahindra Mojo XT300,165000.0,2017,Individual,1st owner,1933,195500.0,6,1,322.167,26.847,Mahindra
72,Bajaj Pulsar AS200,65000.0,2015,Individual,1st owner,15856,92074.0,8,4,1982.0,165.167,Bajaj
74,Royal Enfield Thunderbird 350X,165000.0,2019,Individual,1st owner,3700,164004.0,4,1,925.0,77.083,Royal Enfield
81,Honda CB Unicorn 150,50000.0,2014,Individual,1st owner,32000,74295.0,9,7,3555.556,296.296,Honda
82,Honda Activa 5G,62000.0,2019,Individual,1st owner,3500,57557.0,4,1,875.0,72.917,Honda
83,Honda CB Twister,30000.0,2013,Individual,1st owner,9000,53857.0,10,2,900.0,75.0,Honda
84,Hero Splendor PRO,28000.0,2015,Individual,1st owner,38000,49642.0,8,8,4750.0,395.833,Hero
86,Honda Activa i [2016-2017],30000.0,2015,Individual,2nd owner,20000,51112.0,8,4,2500.0,208.333,Honda
87,Royal Enfield Classic Gunmetal Grey,140000.0,2018,Individual,1st owner,22000,148114.0,5,5,4400.0,366.667,Royal Enfield
88,TVS Scooty Zest 110,30000.0,2017,Individual,1st owner,9432,53751.0,6,2,1572.0,131.0,TVS
90,Suzuki Access 125 [2007-2016],22000.0,2010,Individual,2nd owner,43000,58314.0,13,9,3307.692,275.641,Suzuki
91,Honda Activa [2000-2015],22989.0,2012,Individual,1st owner,500000,50267.0,11,100,45454.545,3787.879,Honda
92,Honda Activa 125 [2016-2017],42000.0,2016,Individual,1st owner,30514,61653.0,7,7,4359.143,363.262,Honda
93,Suzuki GS150R,30000.0,2010,Individual,1st owner,130000,70851.0,13,26,10000.0,833.333,Suzuki
95,Honda Activa 4G,45000.0,2018,Individual,1st owner,25000,53079.0,5,5,5000.0,416.667,Honda
96,Yamaha FZ25,150000.0,2019,Individual,1st owner,2500,133680.0,4,1,625.0,52.083,Yamaha
99,Bajaj Discover 100,24999.0,2012,Individual,2nd owner,35000,42859.0,11,7,3181.818,265.151,Bajaj
104,Royal Enfield Classic Desert Storm,150000.0,2017,Individual,1st owner,16500,181445.0,6,4,2750.0,229.167,Royal Enfield
107,Bajaj V15,42000.0,2016,Individual,1st owner,35000,65626.0,7,7,5000.0,416.667,Bajaj
109,Yamaha FZ S V 2.0,50000.0,2015,Individual,1st owner,20000,84042.0,8,4,2500.0,208.333,Yamaha
112,Yamaha FZ25,120000.0,2017,Individual,1st owner,9000,132680.0,6,2,1500.0,125.0,Yamaha
114,Bajaj Discover 125 ST,17500.0,2013,Individual,1st owner,38000,58438.0,10,8,3800.0,316.667,Bajaj
116,Honda Aviator,57000.0,2018,Individual,1st owner,6465,61118.0,5,2,1293.0,107.75,Honda
119,Hero Xtreme [2013-2014],25000.0,2013,Individual,1st owner,24000,75936.0,10,5,2400.0,200.0,Hero
121,UM Renegade Commando,160000.0,2018,Individual,1st owner,7000,180525.0,5,2,1400.0,116.667,UM
122,Royal Enfield Classic Gunmetal Grey,135000.0,2018,Individual,1st owner,6100,148114.0,5,2,1220.0,101.667,Royal Enfield
123,Honda CB Hornet 160R,55000.0,2017,Individual,1st owner,14000,87543.0,6,3,2333.333,194.444,Honda
125,Bajaj Discover 100,20000.0,2012,Individual,1st owner,85000,42859.0,11,17,7727.273,643.939,Bajaj
128,Honda Activa 5G,55000.0,2019,Individual,1st owner,10000,57557.0,4,2,2500.0,208.333,Honda
129,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,40000,80435.0,7,8,5714.286,476.19,Bajaj
131,Honda Activa 3G,60000.0,2015,Individual,1st owner,30000,54605.0,8,6,3750.0,312.5,Honda
132,Honda Activa 3G,40000.0,2015,Individual,1st owner,3000,54605.0,8,1,375.0,31.25,Honda
133,Bajaj Pulsar 180,15000.0,2008,Individual,1st owner,55000,85011.0,15,11,3666.667,305.556,Bajaj
134,Harley-Davidson Street Bob,750000.0,2013,Individual,2nd owner,12000,1278000.0,10,3,1200.0,100.0,Harley-Davidson
136,Royal Enfield Classic Gunmetal Grey,190000.0,2020,Individual,1st owner,500,155740.0,3,1,166.667,13.889,Royal Enfield
137,KTM 390 Duke ABS [2013-2016],130000.0,2015,Individual,1st owner,50000,202127.0,8,10,6250.0,520.833,KTM
138,Honda CB Hornet 160R,54786.0,2016,Individual,1st owner,25000,88161.0,7,5,3571.429,297.619,Honda
140,Hero Karizma 2014,35000.0,2013,Individual,1st owner,26000,86744.0,10,6,2600.0,216.667,Hero
141,Hero Glamour 125,45000.0,2017,Individual,1st owner,18000,61600.0,6,4,3000.0,250.0,Hero
143,Royal Enfield Classic 500,100000.0,2013,Individual,1st owner,18000,156304.0,10,4,1800.0,150.0,Royal Enfield
148,Hero Hunk,20000.0,2010,Individual,1st owner,35000,78513.0,13,7,2692.308,224.359,Hero
150,Suzuki Gixxer [2014-2018],60000.0,2016,Individual,1st owner,16000,84246.0,7,4,2285.714,190.476,Suzuki
154,Hero Xtreme Sports,22000.0,2014,Individual,1st owner,99000,78350.0,9,20,11000.0,916.667,Hero
155,Honda Activa [2000-2015],30000.0,2014,Individual,1st owner,52000,50267.0,9,11,5777.778,481.482,Honda
156,Bajaj Discover 125,28000.0,2013,Individual,1st owner,45000,60122.0,10,9,4500.0,375.0,Bajaj
158,Yamaha Saluto RX,40000.0,2017,Individual,1st owner,27000,49521.0,6,6,4500.0,375.0,Yamaha
161,Royal Enfield Classic Desert Storm,100000.0,2012,Individual,1st owner,15000,181445.0,11,3,1363.636,113.636,Royal Enfield
164,Honda CB Hornet 160R,48000.0,2016,Individual,2nd owner,25000,88161.0,7,5,3571.429,297.619,Honda
167,Bajaj Pulsar 135 LS,20000.0,2010,Individual,2nd owner,50000,64589.0,13,10,3846.154,320.513,Bajaj
169,Honda Navi [2016-2017],23000.0,2016,Individual,1st owner,17450,44389.0,7,4,2492.857,207.738,Honda
170,Bajaj Discover 125,15000.0,2011,Individual,1st owner,32000,57549.0,12,7,2666.667,222.222,Bajaj
171,Yamaha SZ RR V 2.0,35000.0,2015,Individual,1st owner,38000,69983.0,8,8,4750.0,395.833,Yamaha
172,Bajaj Discover 150,25000.0,2014,Individual,2nd owner,71000,54299.0,9,15,7888.889,657.407,Bajaj
175,Vespa VX 125,45000.0,2013,Individual,2nd owner,50000,72303.0,10,10,5000.0,416.667,Vespa
176,Yamaha SZ X,25000.0,2012,Individual,2nd owner,30000,65800.0,11,6,2727.273,227.273,Yamaha
177,Honda CBF Stunner,35000.0,2013,Individual,1st owner,15888,58757.0,10,4,1588.8,132.4,Honda
178,Bajaj Discover 100 T,25000.0,2013,Individual,1st owner,26000,47032.0,10,6,2600.0,216.667,Bajaj
180,Honda Activa [2000-2015],25000.0,2014,Individual,1st owner,41000,50267.0,9,9,4555.556,379.63,Honda
184,Honda CB Unicorn 160,75000.0,2015,Individual,1st owner,100000,79233.0,8,20,12500.0,1041.667,Honda
185,Honda Activa 3G,47999.0,2016,Individual,1st owner,6000,54605.0,7,2,857.143,71.429,Honda
187,Bajaj Pulsar 180,25000.0,2007,Individual,1st owner,80000,85011.0,16,16,5000.0,416.667,Bajaj
189,Honda CB Unicorn 150,50000.0,2007,Individual,1st owner,46000,74295.0,16,10,2875.0,239.583,Honda
190,Yamaha YZF R15 [2011-2018],65000.0,2013,Individual,1st owner,11000,118997.0,10,3,1100.0,91.667,Yamaha
192,Bajaj Pulsar AS200,60000.0,2015,Individual,1st owner,50000,92074.0,8,10,6250.0,520.833,Bajaj
193,Honda Activa [2000-2015],20000.0,2010,Individual,1st owner,50000,50267.0,13,10,3846.154,320.513,Honda
194,Yamaha FZ16,27000.0,2011,Individual,1st owner,67000,78712.0,12,14,5583.333,465.278,Yamaha
199,Yamaha Ray Z,35000.0,2015,Individual,1st owner,15500,52949.0,8,4,1937.5,161.458,Yamaha
200,Bajaj Pulsar 180,35000.0,2012,Individual,1st owner,45000,85011.0,11,9,4090.909,340.909,Bajaj
201,Bajaj Discover 150F,40000.0,2014,Individual,2nd owner,60855,64071.0,9,13,6761.667,563.472,Bajaj
202,Bajaj Pulsar 135 LS,56000.0,2017,Individual,3rd owner,37714,64589.0,6,8,6285.667,523.806,Bajaj
203,Bajaj Pulsar 180,30000.0,2008,Individual,2nd owner,60000,85011.0,15,12,4000.0,333.333,Bajaj
204,Honda Activa 125 [2016-2017],40000.0,2017,Individual,1st owner,26000,61545.0,6,6,4333.333,361.111,Honda
206,Hero Karizma 2014,40000.0,2013,Individual,1st owner,30000,86744.0,10,6,3000.0,250.0,Hero
208,Royal Enfield Bullet 500,130000.0,2015,Individual,1st owner,34601,168482.0,8,7,4325.125,360.427,Royal Enfield
209,Bajaj Pulsar AS200,45000.0,2015,Individual,1st owner,48000,92074.0,8,10,6000.0,500.0,Bajaj
210,Yamaha FZ S [2012-2016],42000.0,2013,Individual,1st owner,60000,79432.0,10,12,6000.0,500.0,Yamaha
213,Bajaj Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,5,4,3200.0,266.667,Bajaj
214,Hero Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,7,4,2857.143,238.095,Hero
215,Yamaha FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,8,4,2187.5,182.292,Yamaha
217,Bajaj Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,12,6,2500.0,208.333,Bajaj
220,Hero Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,6,2,1666.667,138.889,Hero
222,Yamaha FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,15,8,2666.667,222.222,Yamaha
223,Hero Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,7,5,3000.0,250.0,Hero
226,Bajaj Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,9,10,5555.556,462.963,Bajaj
227,TVS Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,8,7,4100.0,341.667,TVS
228,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,7,7,4571.429,380.952,Bajaj
229,Yamaha Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,4,1,975.0,81.25,Yamaha
230,Honda Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,9,2,1111.111,92.593,Honda
233,Honda CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,4,2,2000.0,166.667,Honda
234,Honda Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,6,3,1833.333,152.778,Honda
235,Hero Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,9,11,5666.667,472.222,Hero
236,Bajaj Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,10,9,4500.0,375.0,Bajaj
237,Honda Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,15,14,4400.0,366.667,Honda
241,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,6,9,6833.333,569.444,Hero
244,Hero Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,6,3,2500.0,208.333,Hero
248,Honda Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,8,4,2500.0,208.333,Honda
249,Yamaha FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,14,10,3571.429,297.619,Yamaha
250,Hero Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,6,11,9166.667,763.889,Hero
251,Bajaj Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,7,15,10050.0,837.5,Bajaj
252,Royal Enfield Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,4,1,675.0,56.25,Royal Enfield
255,Yamaha FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,9,9,4590.111,382.509,Yamaha
262,Honda CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,9,4,2111.111,175.926,Honda
265,Honda Dream Yuga,35000.0,2014,Individual,1st owner,10000,56147.0,9,2,1111.111,92.593,Honda
266,Yamaha FZ S V 2.0,50000.0,2016,Individual,1st owner,40000,87042.0,7,8,5714.286,476.19,Yamaha
267,Hero Xpulse 200,90000.0,2019,Individual,1st owner,8600,107500.0,4,2,2150.0,179.167,Hero
268,Bajaj V15,40000.0,2016,Individual,1st owner,45000,67187.0,7,9,6428.571,535.714,Bajaj
269,Bajaj Avenger Street 220,80000.0,2016,Individual,1st owner,7200,95955.0,7,2,1028.571,85.714,Bajaj
271,Honda CB Unicorn 150,70000.0,2017,Individual,1st owner,18000,74295.0,6,4,3000.0,250.0,Honda
274,Honda CB Shine SP,50000.0,2016,Individual,1st owner,46000,67214.0,7,10,6571.429,547.619,Honda
275,Honda CB Unicorn 150,40000.0,2014,Individual,1st owner,77592,74295.0,9,16,8621.333,718.444,Honda
276,Honda CB Unicorn 150,75000.0,2013,Individual,1st owner,54000,74295.0,10,11,5400.0,450.0,Honda
277,Honda CB Unicorn 150,50000.0,2013,Individual,1st owner,17000,74295.0,10,4,1700.0,141.667,Honda
282,Hero Maestro,25000.0,2015,Individual,2nd owner,40000,49412.0,8,8,5000.0,416.667,Hero
286,Royal Enfield Classic Desert Storm,130000.0,2015,Individual,2nd owner,25000,181445.0,8,5,3125.0,260.417,Royal Enfield
289,Kawasaki Ninja 650 [2018-2019],425000.0,2017,Individual,2nd owner,13600,599000.0,6,3,2266.667,188.889,Kawasaki
291,Kawasaki Ninja 250R,125000.0,2010,Individual,2nd owner,21000,317934.0,13,5,1615.385,134.615,Kawasaki
292,TVS Wego,45000.0,2018,Individual,1st owner,10000,54760.0,5,2,2000.0,166.667,TVS
293,Honda CBR-250R,85000.0,2014,Individual,2nd owner,18600,171646.0,9,4,2066.667,172.222,Honda
295,Suzuki GSX S750,760000.0,2019,Individual,1st owner,2800,752020.0,4,1,700.0,58.333,Suzuki
298,Honda CB Shine SP,48000.0,2015,Individual,1st owner,25000,67469.0,8,5,3125.0,260.417,Honda
299,Bajaj Avenger Street 150 [2018],40000.0,2016,Individual,1st owner,29689,80435.0,7,6,4241.286,353.44,Bajaj
300,Honda CBF Stunner,37000.0,2014,Individual,1st owner,43000,58757.0,9,9,4777.778,398.148,Honda
301,Bajaj Avenger [2015],38000.0,2014,Individual,2nd owner,28243,75502.0,9,6,3138.111,261.509,Bajaj
302,Suzuki Gixxer [2014-2018],55000.0,2015,Individual,1st owner,25000,78316.0,8,5,3125.0,260.417,Suzuki
304,TVS Scooty Streak,18000.0,2009,Individual,2nd owner,33595,44140.0,14,7,2399.643,199.97,TVS
309,Honda Activa 5G,42000.0,2018,Individual,1st owner,22000,57557.0,5,5,4400.0,366.667,Honda
311,Harley-Davidson Street 750,330000.0,2014,Individual,4th owner,6500,534000.0,9,2,722.222,60.185,Harley-Davidson
312,Hero Xtreme 2014,35000.0,2013,Individual,1st owner,15000,72973.0,10,3,1500.0,125.0,Hero
318,Honda Activa [2000-2015],29500.0,2013,Individual,1st owner,45000,50267.0,10,9,4500.0,375.0,Honda
322,Yamaha FZ25,110000.0,2019,Individual,1st owner,10000,133680.0,4,2,2500.0,208.333,Yamaha
324,Yamaha Fascino 110,69000.0,2019,Individual,1st owner,1600,57112.0,4,1,400.0,33.333,Yamaha
325,Yamaha FZ16,30000.0,2011,Individual,1st owner,44000,78712.0,12,9,3666.667,305.556,Yamaha
326,Yamaha FZ16,30000.0,2010,Individual,1st owner,70000,78712.0,13,14,5384.615,448.718,Yamaha
329,Bajaj Pulsar 135 LS,20000.0,2010,Individual,1st owner,80000,64589.0,13,16,6153.846,512.82,Bajaj
331,Bajaj Pulsar 135 LS,23000.0,2010,Individual,1st owner,77000,64589.0,13,16,5923.077,493.59,Bajaj
332,UM Renegade Commando,140000.0,2017,Individual,2nd owner,40000,180525.0,6,8,6666.667,555.556,UM
334,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,18000,56925.0,6,4,3000.0,250.0,Hero
336,Honda Activa 5G,55000.0,2019,Individual,1st owner,9000,59422.0,4,2,2250.0,187.5,Honda
337,Yamaha Fascino 110,45000.0,2016,Individual,1st owner,56000,54500.0,7,12,8000.0,666.667,Yamaha
342,TVS Radeon,35000.0,2017,Individual,1st owner,20000,66492.0,6,4,3333.333,277.778,TVS
344,BMW G310GS,300000.0,2018,Individual,1st owner,2500,349000.0,5,1,500.0,41.667,BMW
347,Yamaha FZ S V 2.0,50000.0,2014,Individual,1st owner,70000,84042.0,9,14,7777.778,648.148,Yamaha
348,Bajaj Avenger Street 220,60000.0,2016,Individual,1st owner,29000,95955.0,7,6,4142.857,345.238,Bajaj
352,Honda CB Unicorn 150,50000.0,2016,Individual,1st owner,27000,74295.0,7,6,3857.143,321.429,Honda
353,Suzuki Gixxer [2014-2018],62000.0,2017,Individual,1st owner,15000,78316.0,6,3,2500.0,208.333,Suzuki
356,Royal Enfield Thunderbird 500,125000.0,2014,Individual,1st owner,25000,190874.0,9,5,2777.778,231.481,Royal Enfield
357,Bajaj Pulsar AS150,50000.0,2015,Individual,1st owner,5000,80821.0,8,1,625.0,52.083,Bajaj
359,Hero Pleasure,40000.0,2014,Individual,1st owner,14000,51600.0,9,3,1555.556,129.63,Hero
360,Honda Aviator,41000.0,2013,Individual,1st owner,36500,63537.0,10,8,3650.0,304.167,Honda
362,Hero Ignitor,35000.0,2014,Individual,1st owner,33200,67722.0,9,7,3688.889,307.407,Hero
365,Hero Achiever 150,38000.0,2017,Individual,1st owner,26000,69750.0,6,6,4333.333,361.111,Hero
366,Vespa LX 125,50000.0,2015,Individual,1st owner,3909,77900.0,8,1,488.625,40.719,Vespa
367,Honda Activa 3G,40000.0,2015,Individual,1st owner,7672,54605.0,8,2,959.0,79.917,Honda
368,Hero Splendor Plus i3s,70000.0,2019,Individual,1st owner,3000,55600.0,4,1,750.0,62.5,Hero
370,Hero Maestro,26500.0,2016,Individual,2nd owner,40000,53830.0,7,8,5714.286,476.19,Hero
371,Hero Glamour 125,38000.0,2016,Dealer,1st owner,5500,61600.0,7,2,785.714,65.476,Hero
372,Yamaha FZ16,60000.0,2016,Individual,1st owner,29950,78712.0,7,6,4278.571,356.548,Yamaha
374,Yamaha FZ S V 2.0,78000.0,2017,Individual,1st owner,26100,84480.0,6,6,4350.0,362.5,Yamaha
375,Hero Maestro Edge,58000.0,2018,Individual,1st owner,6000,54580.0,5,2,1200.0,100.0,Hero
376,Yamaha FZ25,130000.0,2017,Individual,1st owner,4000,132680.0,6,1,666.667,55.556,Yamaha
377,TVS Victor,20000.0,2001,Individual,1st owner,50000,54852.0,22,10,2272.727,189.394,TVS
378,Bajaj Dominar 400 [2018],150000.0,2018,Individual,1st owner,5475,163331.0,5,2,1095.0,91.25,Bajaj
